Facility,Facility-link,Facility-Activity,Date,Time-start,Time-end,Time,Details,details-link
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Party,Monday March 9,,,6:30 pm - 7:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1885901
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Zumba®,Monday March 9,,,6:30 pm - 7:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1032763
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Indoor Cycling,Monday March 9,,,6:30 pm - 7:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1413370
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,TMC,Monday March 9,,,6:30 pm - 7:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1413514
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Zumba®,Monday March 9,,,6:30 pm - 7:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1393011
Deborah Anne Kirwan Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/deborah-anne-kirwan-pool,Public Swim,Monday March 9,,,7:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1978896
Jack Purcell Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jack-purcell-community-centre,Lane Swim,Monday March 9,,,7:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1281502
Kanata Leisure Centre and Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/kanata-leisure-centre-and-wave-pool,Hot Tub/Sauna,Monday March 9,,,7:00 pm - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1934986
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Bootcamp,Monday March 9,,,7:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2020751
Greenboro Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/greenboro-community-centre,TMC,Monday March 9,,,7:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1890841
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Aqua- Turbo,Monday March 9,,,7:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2019286
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Zumba®,Monday March 9,,,7:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1154123
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Public Swim,Monday March 9,,,7:00 pm - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1930746
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Open Gym,Monday March 9,,,7:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1981766
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Core Conditioning,Monday March 9,,,7:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1408072
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Yoga,Monday March 9,,,7:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1363721
Pinecrest Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/pinecrest-recreation-complex,Zumba®,Monday March 9,,,7:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1415316
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Indoor Cycling- Strength,Monday March 9,,,7:05 pm - 8:05 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1363707
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Yoga,Monday March 9,,,7:30 pm - 8:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2016431
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Lane Swim,Monday March 9,,,7:30 pm - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1990191
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,LeBOOT™,Monday March 9,,,7:30 pm - 8:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1050606
Fisher Park Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/fisher-park-community-centre,Pickleball,Monday March 9,,,7:30 pm - 9:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1418397
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Zumba®,Monday March 9,,,7:30 pm - 8:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1413529
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Basketball (Adult),Monday March 9,,,7:30 pm - 9:25 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1423102
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Lane Swim,Monday March 9,,,7:30 pm - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1998156
Canterbury Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/canterbury-recreation-complex,Lane Swim,Monday March 9,,,7:30 pm - 8:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1673051
Brewer Pool and Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/brewer-pool-and-arena,Lane Swim,Monday March 9,,,8:00 pm - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1977486
Deborah Anne Kirwan Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/deborah-anne-kirwan-pool,Women Only Family,Monday March 9,,,8:00 pm - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1443441
Jack Purcell Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jack-purcell-community-centre,Aqua- General,Monday March 9,,,8:00 pm - 9:00 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1460371
Kanata Leisure Centre and Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/kanata-leisure-centre-and-wave-pool,Aqua- Turbo,Monday March 9,,,8:00 pm - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1937291
Kanata Leisure Centre and Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/kanata-leisure-centre-and-wave-pool,Lane Swim,Monday March 9,,,8:00 pm - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1933466
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Yoga,Monday March 9,,,8:00 pm - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2020986
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Lane Swim,Monday March 9,,,8:00 pm - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1628296
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Open Gym (Adult),Monday March 9,,,8:00 pm - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1982261
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Pickleball,Monday March 9,,,8:00 pm - 9:30 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1419669
Sawmill Creek Community Centre and Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/sawmill-creek-community-centre-and-pool,Lane Swim,Monday March 9,,,8:00 pm - 9:15 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1865556
Greenboro Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/greenboro-community-centre,Yoga,Monday March 9,,,8:10 pm - 9:10 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1450086
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Lane Swim,Monday March 9,,,8:30 pm - 9:45 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1897861
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Badminton (Adult),Monday March 9,,,8:30 pm - 10:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2002316
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Monday March 9,,,8:30 pm - 9:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2006041
Pinecrest Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/pinecrest-recreation-complex,Lane Swim,Monday March 9,,,8:30 pm - 9:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2027941
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Lane Swim,Monday March 9,,,9:00 pm - 9:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2017926
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Open Gym (Adult),Monday March 9,,,9:00 pm - 10:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1982376
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Lane Swim,Monday March 9,,,9:00 pm - 10:15 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1867226
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Indoor Cycling- Interval,Tuesday March 10,,,6:00 am - 7:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2015811
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Indoor Cycling,Tuesday March 10,,,6:00 am - 7:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1887661
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Lane Swim,Tuesday March 10,,,6:00 am - 4:00 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1927611
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Lane Swim,Tuesday March 10,,,6:00 am - 8:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1867071
Pinecrest Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/pinecrest-recreation-complex,Lane Swim,Tuesday March 10,,,6:00 am - 7:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2028471
Champagne Fitness Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/champagne-fitness-centre,Lane Swim,Tuesday March 10,,,6:30 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2025571
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Indoor Cycling,Tuesday March 10,,,6:30 am - 7:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1407807
Kanata Leisure Centre and Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/kanata-leisure-centre-and-wave-pool,Hot Tub/Sauna,Tuesday March 10,,,6:45 am - 3:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1934501
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Tuesday March 10,,,7:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2002601
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Aqua- General,Tuesday March 10,,,7:00 am - 8:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1873896
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Aqua- Turbo,Tuesday March 10,,,7:00 am - 8:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1633191
Sawmill Creek Community Centre and Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/sawmill-creek-community-centre-and-pool,Lane Swim,Tuesday March 10,,,7:00 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1865776
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Lane Swim,Tuesday March 10,,,7:30 am - 8:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1989606
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Hot tub/Steam room,Tuesday March 10,,,7:30 am - 2:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1992026
Jim Durrell Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jim-durrell-recreation-centre,Pick-up Hockey - Adults 18+,Tuesday March 10,,,7:30 am - 8:50 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1476886
Jim Durrell Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jim-durrell-recreation-centre,Pick-up Hockey - Adults 18+,Tuesday March 10,,,7:30 am - 8:50 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1476886
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Lane Swim,Tuesday March 10,,,7:30 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1870531
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Lane Swim,Tuesday March 10,,,7:30 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2018231
Brewer Pool and Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/brewer-pool-and-arena,Lane Swim,Tuesday March 10,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1976796
Kanata Leisure Centre and Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/kanata-leisure-centre-and-wave-pool,Lane Swim,Tuesday March 10,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1933361
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Public Swim,Tuesday March 10,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1871616
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Aqua- General,Tuesday March 10,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1631061
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Cardio and Strength Older Adult,Tuesday March 10,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1390754
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Core Conditioning,Tuesday March 10,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1877816
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Pickleball (Older Adult),Tuesday March 10,,,8:00 am - 9:30 am,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1950906
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Bootcamp,Tuesday March 10,,,8:00 am - 8:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2031326
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,TMC,Tuesday March 10,,,8:15 am - 9:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1413544
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,50+ Swim,Tuesday March 10,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1898971
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Aqua- Turbo,Tuesday March 10,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2021461
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Aqua- General Lite *Heartwise,Tuesday March 10,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2059436
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Lane Swim,Tuesday March 10,,,8:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1866571
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Aqua- TMC,Tuesday March 10,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1878651
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Aqua- Turbo,Tuesday March 10,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1419111
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Lane Swim,Tuesday March 10,,,8:30 am - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1418514
Pinecrest Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/pinecrest-recreation-complex,Cardio and Strength Older Adult,Tuesday March 10,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1853181
Pinecrest Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/pinecrest-recreation-complex,Aqua- TMC,Tuesday March 10,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1895771
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Lane Swim,Tuesday March 10,,,8:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1997831
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Aqua- Turbo,Tuesday March 10,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1997046
Brewer Pool and Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/brewer-pool-and-arena,Aqua- General,Tuesday March 10,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1638286
Hunt Club-Riverside Park Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/hunt-club-riverside-park-community-centre,Cardio Older Adult,Tuesday March 10,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1424935
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,The Groove® Method,Tuesday March 10,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1886036
Kanata Leisure Centre and Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/kanata-leisure-centre-and-wave-pool,Aqua- Turbo,Tuesday March 10,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1446651
Kanata Leisure Centre and Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/kanata-leisure-centre-and-wave-pool,Step and Strength,Tuesday March 10,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1999136
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Aqua- General,Tuesday March 10,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1960011
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Tuesday March 10,,,9:00 am - 11:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2003096
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Aqua- General,Tuesday March 10,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2023521
Greenboro Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/greenboro-community-centre,Cardio and Strength Older Adult,Tuesday March 10,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1920511
Greenboro Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/greenboro-community-centre,Bootcamp,Tuesday March 10,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1450326
Greenboro Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/greenboro-community-centre,Bootcamp,Tuesday March 10,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1450326
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Indoor Cycling,Tuesday March 10,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1904006
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Aqua- General,Tuesday March 10,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1631906
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Cardio and Strength Older Adult,Tuesday March 10,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1891406
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Cardio and Strength,Tuesday March 10,,,9:00 am - 9:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1428812
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Core Conditioning,Tuesday March 10,,,9:00 am - 9:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1428769
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Cardio and Strength Older Adult,Tuesday March 10,,,9:00 am - 9:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2031456
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Preschool Swim,Tuesday March 10,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1998411
Canterbury Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/canterbury-recreation-complex,Aqua- General,Tuesday March 10,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1671681
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Core Conditioning,Tuesday March 10,,,9:10 am - 10:10 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1885966
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Zumba®,Tuesday March 10,,,9:15 am - 10:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2021541
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,TMC,Tuesday March 10,,,9:15 am - 10:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1037272
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Stretch and Strength,Tuesday March 10,,,9:15 am - 10:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1183991
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Yoga,Tuesday March 10,,,9:15 am - 10:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1877601
Canterbury Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/canterbury-recreation-complex,Table Tennis (Adult),Tuesday March 10,,,9:15 am - 2:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1971806
Overbrook Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/overbrook-community-centre,Pickleball,Tuesday March 10,,,9:30 am - 11:30 am,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1901731
Overbrook Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/overbrook-community-centre,Pickleball (Older Adult),Tuesday March 10,,,9:30 am - 11:30 am,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1903246
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Preschool Swim,Tuesday March 10,,,9:30 am - 11:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1898611
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Aqua- General,Tuesday March 10,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2016751
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Public Skating,Tuesday March 10,,,9:30 am - 10:50 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1428218
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Public Swim,Tuesday March 10,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1990466
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Aqua- General Lite,Tuesday March 10,,,9:30 am - 10:30 am,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2022756
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Strength and Balance Older Adult,Tuesday March 10,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2021981
