Facility,Facility-link,Facility-Activity,Date,Time-start,Time-end,Time,Details,details-link
Jim Durrell Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jim-durrell-recreation-centre,Shinny Hockey - Child,Monday February 17,,,3:30 pm - 4:20 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1477361
Blackburn Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/blackburn-arena,Public Skating,Monday February 17,,,4:00 pm - 4:50 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2054546
Navan Memorial Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/navan-memorial-centre,Public Skating,Monday February 17,,,4:00 pm - 4:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1465866
Jack Purcell Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jack-purcell-community-centre,Lane Swim,Monday February 17,,,4:00 pm - 5:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1281476
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Public Swim,Monday February 17,,,4:00 pm - 5:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2007986
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Monday February 17,,,4:00 pm - 5:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2005426
Jim Durrell Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jim-durrell-recreation-centre,Shinny Hockey - Youth,Monday February 17,,,4:30 pm - 5:20 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1477491
Jack Purcell Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jack-purcell-community-centre,Aqua- General,Monday February 17,,,5:00 pm - 6:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1281202
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Aqua- TMC,Monday February 17,,,5:00 pm - 6:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1958786
Champagne Fitness Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/champagne-fitness-centre,Lane Swim,Monday February 17,,,5:00 pm - 9:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2026646
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,HIIT (High Intensity Interval Training),Monday February 17,,,5:30 pm - 6:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1367236
Jack Purcell Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jack-purcell-community-centre,Public Swim,Monday February 17,,,6:00 pm - 7:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1281376
Jack Purcell Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jack-purcell-community-centre,Lane Swim,Monday February 17,,,7:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1281502
Jack Purcell Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jack-purcell-community-centre,Aqua- General,Monday February 17,,,8:00 pm - 9:00 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1460371
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Monday February 17,,,8:30 pm - 9:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2006041
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Indoor Cycling- Interval,Tuesday February 18,,,6:00 am - 7:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2015811
